Date,Open,High,Low,Close,Volume
03/06/2025,"648.00","650.56","624.11","627.93","13,446,450"
03/05/2025,"641.00","659.50","637.66","656.47","13,770,030"
03/04/2025,"645.51","649.75","623.65","640.00","21,495,211"
03/03/2025,"673.68","681.25","650.84","655.05","10,843,760"
02/28/2025,"658.04","669.63","642.60","668.20","17,534,170"
02/27/2025,"682.45","688.65","657.57","658.24","12,500,010"
02/26/2025,"659.65","683.01","658.00","673.70","14,488,710"
02/25/2025,"665.97","668.00","641.86","657.50","20,579,660"
02/24/2025,"686.28","687.27","662.45","668.13","15,676,990"
02/21/2025,"696.58","703.87","682.36","683.55","15,660,360"
02/20/2025,"697.28","705.63","693.64","694.84","12,587,410"
02/19/2025,"704.10","707.00","695.39","703.77","17,535,480"
02/18/2025,"736.00","737.00","706.44","716.37","21,938,699"
02/14/2025,"726.14","740.91","725.62","736.67","16,901,250"
02/13/2025,"721.52","729.00","718.04","728.56","12,569,060"
02/12/2025,"715.30","727.10","712.60","725.38","12,016,520"
02/11/2025,"713.32","723.66","710.04","719.80","12,997,960"
02/10/2025,"718.56","721.20","711.33","717.40","12,904,320"
02/07/2025,"716.80","725.01","711.75","714.52","16,427,070"
02/06/2025,"705.88","718.90","703.50","711.99","13,080,690"
02/05/2025,"703.55","718.14","699.01","704.87","17,793,770"
02/04/2025,"702.50","707.71","691.61","704.19","13,826,270"
02/03/2025,"675.91","704.00","675.25","697.46","21,415,740"
01/31/2025,"691.00","705.30","685.58","689.18","19,331,660"
01/30/2025,"696.82","710.79","676.10","687.00","29,322,900"
01/29/2025,"675.00","681.05","665.67","676.49","21,377,820"
01/28/2025,"666.00","682.58","659.47","674.33","20,950,109"
01/27/2025,"626.61","663.87","625.10","659.88","28,399,189"
01/24/2025,"636.40","652.00","634.20","647.49","19,065,330"
01/23/2025,"627.36","636.60","621.15","636.45","9,910,163"
01/22/2025,"623.30","633.70","619.44","623.50","12,274,010"
01/21/2025,"617.83","621.50","609.01","616.46","11,674,020"
01/17/2025,"624.05","624.97","603.67","612.77","17,280,600"
01/16/2025,"611.50","616.25","609.71","611.30","8,355,349"
01/15/2025,"610.21","622.46","606.50","617.12","15,524,300"
01/14/2025,"605.07","605.49","588.55","594.25","13,597,990"
01/13/2025,"607.10","608.97","598.45","608.33","10,785,030"
01/10/2025,"610.03","629.91","597.34","615.86","19,256,561"
01/08/2025,"613.40","616.44","602.79","610.72","10,085,850"
01/07/2025,"631.70","632.10","608.23","617.89","12,071,480"
01/06/2025,"611.83","630.99","605.62","630.20","14,560,750"
01/03/2025,"604.76","609.50","596.41","604.63","11,436,780"
01/02/2025,"589.72","604.91","587.82","599.24","12,682,270"
12/31/2024,"592.27","593.97","583.85","585.51","6,019,520"
