Date,Close,Open,High,Low,Vol.,Change %
3/1/2021,127.79,123.75,127.93,122.79,116.31M,5.39%
2/26/2021,121.26,122.59,124.85,121.2,164.56M,0.22%
2/25/2021,120.99,124.68,126.46,120.54,148.20M,-3.48%
2/24/2021,125.35,124.94,125.56,122.23,111.04M,-0.41%
2/23/2021,125.86,123.76,126.71,118.39,158.27M,-0.11%
2/22/2021,126,128.01,129.72,125.6,103.92M,-2.98%
2/19/2021,129.87,130.24,130.71,128.8,87.67M,0.12%
2/18/2021,129.71,129.2,130,127.41,96.86M,-0.86%
2/17/2021,130.84,131.25,132.22,129.47,98.09M,-1.76%
2/16/2021,133.19,135.49,136.01,132.79,80.58M,-1.61%
2/12/2021,135.37,134.35,135.53,133.69,60.15M,0.18%
2/11/2021,135.13,135.9,136.39,133.77,64.28M,-0.19%
2/10/2021,135.39,136.48,136.99,134.4,73.05M,-0.46%
2/9/2021,136.01,136.62,137.88,135.85,76.77M,-0.66%
2/8/2021,136.91,136.03,136.96,134.92,71.30M,0.11%
2/5/2021,136.76,137.35,137.42,135.86,75.69M,-0.46%
2/4/2021,137.39,136.3,137.4,134.59,84.18M,2.58%
2/3/2021,133.94,135.76,135.77,133.61,89.88M,-0.78%
2/2/2021,134.99,135.73,136.31,134.61,83.31M,0.63%
2/1/2021,134.14,133.75,135.38,130.93,106.24M,1.65%
1/29/2021,131.96,135.83,136.74,130.21,177.52M,-3.74%
1/28/2021,137.09,139.52,141.99,136.7,142.62M,-3.50%
1/27/2021,142.06,143.43,144.3,140.41,140.84M,-0.77%
1/26/2021,143.16,143.6,144.3,141.37,98.39M,0.17%
1/25/2021,142.92,143.07,145.09,136.54,157.61M,2.77%
1/22/2021,139.07,136.28,139.85,135.02,114.46M,1.61%
1/21/2021,136.87,133.8,139.67,133.59,120.53M,3.67%
1/20/2021,132.03,128.66,132.49,128.55,104.32M,3.29%
1/19/2021,127.83,127.78,128.71,126.94,90.76M,0.54%
1/15/2021,127.14,128.78,130.22,127,111.60M,-1.37%
1/14/2021,128.91,130.8,131,128.76,90.22M,-1.51%
1/13/2021,130.89,128.76,131.45,128.49,88.64M,1.62%
1/12/2021,128.8,128.5,129.69,126.86,91.95M,-0.14%
1/11/2021,128.98,129.19,130.17,128.5,100.62M,-2.32%
1/8/2021,132.05,132.43,132.63,130.23,105.16M,0.86%
1/7/2021,130.92,128.36,131.63,127.86,109.58M,3.41%
